Model,Target_Transform,Selected,CV_MAE_Mean_LKR,CV_MAE_Std_LKR,CV_RMSE_Mean_LKR,CV_R2_Mean,Test_MAE_LKR,Test_RMSE_LKR,Test_R2,Test_MedAE_LKR
RandomForestRegressor,log1p,Yes (Best CV),4290840.388794948,3502447.807242699,11916937.530053752,0.5949498127421234,1228489.464793961,1916198.7944645432,0.8959409189002634,766518.7134781145
LinearRegression,log1p,No,4406413.09164953,3625002.6644229493,12078356.81380058,0.5763502906318613,1439240.6034898206,2491244.315323404,0.824113906675477,374050.1929147821
HistGradientBoostingRegressor,log1p,No,5026914.048740005,3755265.02939536,12829183.662143413,0.5029100945532505,1740768.2183831858,2554044.755585867,0.8151345007682482,949603.9493933357
MedianBaseline,log1p,No,7287271.5201233905,3666483.5760993245,16186246.164126208,-0.14900296729875923,4292568.679070505,6323887.727089295,-0.13335812712928363,3089920.3813783624
MeanBaseline,log1p,No,7291783.572933048,3650468.108958075,16341716.54787786,-0.1809800957620793,4331420.780033191,6487456.132153667,-0.19274534334804905,2888264.411847324
