listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12336220,https://riyasewana.com/buy/aston-bajaj-sale-galle-12336220,Aston Bajaj 2016 Three Wheel (Used),Three Wheel,Aston,Bajaj,2016,2016,,51230,1620000,Petrol,Manual,205,Registered (Used),Galle,Galle,"2026 Sep 16, 9:29 pm",riyasewana,2026-09-16T16:08:12.905829+00:00,[],True
12257127,https://riyasewana.com/buy/bajaj-2-stroke-sale-anuradapura-12257127,Bajaj 2 stroke 2006 Three Wheel (Used),Three Wheel,Bajaj,2 stroke,2006,2006,,1,,Petrol,Manual,,Registered (Used),Anuradapura,Anuradapura,"2026 Sep 03, 12:31 pm",riyasewana,2026-09-16T16:08:14.589196+00:00,"[""missing_price""]",False
12336012,https://riyasewana.com/buy/bajaj-2-stroke-sale-colombo-12336012,Bajaj 2 Stroke 2002 Three Wheel (Used),Three Wheel,Bajaj,2 Stroke,2002,2002,,1,,Petrol,Automatic,175,Registered (Used),Colombo,Colombo,"2026 Sep 16, 8:30 pm",riyasewana,2026-09-16T16:08:16.265298+00:00,"[""missing_price""]",False
12336179,https://riyasewana.com/buy/bajaj-2-stroke-sale-colombo-12336179,Bajaj 2 Stroke 1994 Three Wheel (Used),Three Wheel,Bajaj,2 Stroke,1994,1994,,50000,430000,Petrol,Manual,,Registered (Used),Colombo,Colombo,"2026 Sep 16, 9:15 pm",riyasewana,2026-09-16T16:08:17.955468+00:00,[],True
12336226,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-12336226,Bajaj 2 Stroke 2003 Three Wheel (Used),Three Wheel,Bajaj,2 Stroke,2003,2003,,42000,785000,Petrol,Manual,150,Registered (Used),Gampaha,Gampaha,"2026 Sep 16, 9:32 pm",riyasewana,2026-09-16T16:08:19.644884+00:00,[],True
12336241,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-12336241,Bajaj 2 Stroke 2005 Three Wheel (Used),Three Wheel,Bajaj,2 Stroke,2005,2005,,42000,645000,Petrol,Manual,150,Registered (Used),Gampaha,Gampaha,"2026 Sep 16, 9:36 pm",riyasewana,2026-09-16T16:08:21.357600+00:00,[],True
12336062,https://riyasewana.com/buy/bajaj-2-stroke-sale-kadawatha-12336062,Bajaj 2 Stroke 2002 Three Wheel (Used),Three Wheel,Bajaj,2 Stroke,2002,2002,,100000,598000,Petrol,Manual,198,Registered (Used),Kadawatha,Gampaha,"2026 Sep 16, 8:44 pm",riyasewana,2026-09-16T16:08:23.029430+00:00,[],True
12336033,https://riyasewana.com/buy/bajaj-2-stroke-sale-kaduwela-12336033,Bajaj 2 stroke 1997 Three Wheel (Used),Three Wheel,Bajaj,2 stroke,1997,1997,,10000,448000,Petrol,Automatic,145,Registered (Used),Kaduwela,Colombo,"2026 Sep 16, 8:36 pm",riyasewana,2026-09-16T16:08:24.727119+00:00,[],True
12315323,https://riyasewana.com/buy/bajaj-2-stroke-sale-kandy-12315323,Bajaj 2 Stroke 2000 Three Wheel (Used),Three Wheel,Bajaj,2 Stroke,2000,2000,,,700000,Petrol,Manual,175,Registered (Used),Kandy,Kandy,"2026 Sep 13, 9:40 am",riyasewana,2026-09-16T16:08:26.414663+00:00,"[""missing_mileage""]",False
12336051,https://riyasewana.com/buy/bajaj-2-stroke-sale-kurunegala-12336051,Bajaj 2 Stroke 2006 Three Wheel (Used),Three Wheel,Bajaj,2 Stroke,2006,2006,,45000,760000,Petrol,Manual,175,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 16, 8:41 pm",riyasewana,2026-09-16T16:08:28.197286+00:00,[],True
