listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
11546198,https://riyasewana.com/buy/audi-q2-sale-kottawa-11546198,Audi Q2 2018 SUV (Used),Car,Audi,Q2,2018,2018,,73000,12500000,Petrol,Automatic,1000,Registered (Used),Kottawa,Colombo,"2026 Sep 09, 10:11 pm",riyasewana,2026-09-09T17:09:50.883787+00:00,[],True
12294734,https://riyasewana.com/buy/audi-q3-tfsi-sale-dehiwala-mount-lavinia-12294734,Audi Q3 TFSi 2018 SUV (Used),Car,Audi,Q3 TFSi,2016,2016,2018,84000,,Petrol,Automatic,1400,Registered (Used),Dehiwala-Mount-Lavinia,Colombo,"2026 Sep 09, 9:06 pm",riyasewana,2026-09-09T17:09:52.555175+00:00,"[""missing_price""]",False
12294972,https://riyasewana.com/buy/baic-beijing-x55-sale-colombo-12294972,Baic Beijing X55 2025 SUV (Used),Car,Baic,Beijing X55,2025,2025,,14,12900000,Petrol,Automatic,,Registered (Used),Colombo,Colombo,"2026 Sep 09, 10:31 pm",riyasewana,2026-09-09T17:09:54.239922+00:00,[],True
11897463,https://riyasewana.com/buy/chery-tiggo-sale-maharagama-11897463,Chery Tiggo 2024 SUV (Used),Car,Chery,Tiggo,2024,2024,,4900,,Petrol,Automatic,1500,Registered (Used),Maharagama,Colombo,"2026 Sep 09, 9:07 pm",riyasewana,2026-09-09T17:09:55.931962+00:00,"[""missing_price""]",False
12294341,https://riyasewana.com/buy/daihatsu-rocky-g-sale-horana-12294341,Daihatsu Rocky G Premium HEV 2026 SUV Brand New,Car,Daihatsu,Rocky G Premium HEV,2026,2026,,20,13750000,Hybrid,Automatic,1200,Brand New,Horana,Horana,"2026 Sep 09, 7:30 pm",riyasewana,2026-09-09T17:09:57.606957+00:00,[],True
12294908,https://riyasewana.com/buy/honda-crv-sale-kalutara-12294908,Honda CRV 2018 SUV (Used),Car,Honda,CRV,2018,2018,2019,125000,15500000,Petrol,Automatic,1500,Registered (Used),Kalutara,Kalutara,"2026 Sep 09, 10:07 pm",riyasewana,2026-09-09T17:09:59.287041+00:00,[],True
12281848,https://riyasewana.com/buy/honda-vezel-z-sale-colombo-12281848,Honda Vezel Z Grade 2024 SUV (Used),Car,Honda,Vezel Z Grade,2024,2024,,14000,,Hybrid,Automatic,1490,Registered (Used),Colombo,Colombo,"2026 Sep 07, 2:52 pm",riyasewana,2026-09-09T17:10:00.970734+00:00,"[""missing_price""]",False
12294737,https://riyasewana.com/buy/honda-vezel-z-sale-kadawatha-12294737,Honda Vezel Z Premium 2026 SUV (Used),Car,Honda,Vezel Z Premium,2026,2026,2026,5000,19300000,Hybrid,Automatic,1500,Registered (Used),Kadawatha,Gampaha,"2026 Sep 09, 9:06 pm",riyasewana,2026-09-09T17:10:02.629792+00:00,[],True
12260644,https://riyasewana.com/buy/kia-sonet-gtx-sale-boralesgamuwa-12260644,Kia SONET GTX PLUS 2026 SUV Brand New,Car,Kia,SONET GTX PLUS,2026,2026,,30,12290000,Petrol,Automatic,1000,Brand New,Boralesgamuwa,Boralesgamuwa,"2026 Sep 09, 8:35 am",riyasewana,2026-09-09T17:10:04.305431+00:00,[],True
12294826,https://riyasewana.com/buy/kia-sonet-gtx-sale-dehiwala-mount-lavinia-12294826,Kia Sonet Gtx Plus Gt Line 2026 SUV Brand New,Car,Kia,Sonet Gtx Plus Gt Line,2026,2026,,30,11850000,Petrol,Automatic,1000,Brand New,Dehiwala-Mount-Lavinia,Colombo,"2026 Sep 09, 9:34 pm",riyasewana,2026-09-09T17:10:05.986755+00:00,[],True
