listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12294699,https://riyasewana.com/buy/daihatsu-hijet-sale-kandy-12294699,Daihatsu Hijet 2006 Lorry (Used),Car,Daihatsu,Hijet,2001,2001,2006,112000,2075000,Petrol,Manual,650,Registered (Used),Kandy,Kandy,"2026 Sep 09, 8:57 pm",riyasewana,2026-09-09T17:09:02.209216+00:00,[],True
12294541,https://riyasewana.com/buy/daihatsu-hijet-sale-matara-12294541,Daihatsu Hijet 2007 Lorry (Used),Car,Daihatsu,Hijet,2007,2007,,,,Petrol,Manual,650,Registered (Used),Matara,Matara,"2026 Sep 09, 8:17 pm",riyasewana,2026-09-09T17:09:03.881545+00:00,"[""missing_price"", ""missing_mileage""]",False
12294729,https://riyasewana.com/buy/daihatsu-hijet-truck-sale-kandy-12294729,Daihatsu Hijet Truck 2023 Lorry Unregistered (Recondition),Car,Daihatsu,Hijet Truck,2023,2023,,14000,5850000,Petrol,Manual,660,Unregistered (Recondition),Kandy,Kandy,"2026 Sep 09, 9:05 pm",riyasewana,2026-09-09T17:09:05.569374+00:00,[],True
12294693,https://riyasewana.com/buy/faw-canter-sale-embilipitiya-12294693,FAW Canter 2008 Lorry (Used),Car,FAW,Canter,2008,2008,,12000,1350000,Diesel,Manual,2400,Registered (Used),Embilipitiya,Embilipitiya,"2026 Sep 09, 8:56 pm",riyasewana,2026-09-09T17:09:07.242593+00:00,[],True
12294663,https://riyasewana.com/buy/honda-acty-sale-ampara-12294663,Honda Acty 2001 Lorry (Used),Car,Honda,Acty,2001,2001,,14000,1850000,Petrol,Manual,650,Registered (Used),Ampara,Ampara,"2026 Sep 09, 8:49 pm",riyasewana,2026-09-09T17:09:08.908523+00:00,[],True
12294571,https://riyasewana.com/buy/isuzu-elf-250-sale-kuliyapitiya-12294571,Isuzu ELF 250 1978 Lorry (Used),Car,Isuzu,ELF 250,1978,1978,,100000,1250000,Diesel,Manual,,Registered (Used),Kuliyapitiya,Kuliyapitiya,"2026 Sep 09, 8:25 pm",riyasewana,2026-09-09T17:09:10.564503+00:00,[],True
12294553,https://riyasewana.com/buy/isuzu-elf-sale-kuliyapitiya-12294553,Isuzu ELF 1996 Lorry (Used),Car,Isuzu,ELF,1996,1996,,,,Diesel,Manual,4570,Registered (Used),Kuliyapitiya,Kuliyapitiya,"2026 Sep 09, 8:21 pm",riyasewana,2026-09-09T17:09:12.232654+00:00,"[""missing_price"", ""missing_mileage""]",False
12294875,https://riyasewana.com/buy/isuzu-elf-sale-kurunegala-12294875,Isuzu ELF 1981 Lorry (Used),Car,Isuzu,ELF,1981,1981,,1,,Diesel,Manual,,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 09, 9:54 pm",riyasewana,2026-09-09T17:09:13.899553+00:00,"[""missing_price""]",False
12265716,https://riyasewana.com/buy/isuzu-forward-car-sale-colombo-12265716,Isuzu Forward CAR CARRIER 2017 Lorry Unregistered (Recondition),Car,Isuzu,Forward CAR CARRIER,2017,2017,,300000,21800000,Diesel,Automatic,5176,Unregistered (Recondition),Colombo,Colombo,"2026 Sep 09, 10:21 pm",riyasewana,2026-09-09T17:09:15.567637+00:00,[],True
12294409,https://riyasewana.com/buy/isuzu-isuzu-sale-kurunegala-12294409,Isuzu Isuzu 1980 Lorry (Used),Car,Isuzu,Isuzu,1980,1980,,355,1975000,Diesel,Manual,2000,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 09, 7:45 pm",riyasewana,2026-09-09T17:09:17.242852+00:00,[],True
