listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12336126,https://riyasewana.com/buy/audi-a6-sale-colombo-12336126,Audi A6 2014 Car (Used),Car,Audi,A6,2014,2014,,147000,12500000,Diesel,Automatic,1968,Registered (Used),Colombo,Colombo,"2026 Sep 16, 9:01 pm",riyasewana,2026-09-16T16:06:17.889148+00:00,[],True
12336130,https://riyasewana.com/buy/daihatsu-taft-g-sale-colombo-12336130,Daihatsu TAFT G Chrome 2023 Car (Used),Car,Daihatsu,TAFT G Chrome,2023,2023,,33000,7475000,Petrol,Automatic,650,Registered (Used),Colombo,Colombo,"2026 Sep 16, 9:02 pm",riyasewana,2026-09-16T16:06:19.561691+00:00,[],True
12336145,https://riyasewana.com/buy/honda-city-sale-colombo-12336145,Honda City 2025 Car (Used),Car,Honda,City,2025,2025,2025,11100,12900000,Petrol,Automatic,1000,Registered (Used),Colombo,Colombo,"2026 Sep 16, 9:06 pm",riyasewana,2026-09-16T16:06:21.245272+00:00,[],True
12336112,https://riyasewana.com/buy/honda-civic-es8-sale-moratuwa-12336112,Honda Civic ES8 2004 Car (Used),Car,Honda,Civic ES8,2004,2004,2004,175000,5700000,Petrol,Automatic,1000,Registered (Used),Moratuwa,Colombo,"2026 Sep 16, 8:57 pm",riyasewana,2026-09-16T16:06:22.952057+00:00,[],True
12336155,https://riyasewana.com/buy/honda-jade-sale-colombo-12336155,Honda Jade 2015 Car (Used),Car,Honda,Jade,2015,2015,2017,98500,11000000,Hybrid,Automatic,1500,Registered (Used),Colombo,Colombo,"2026 Sep 16, 9:07 pm",riyasewana,2026-09-16T16:06:24.620161+00:00,[],True
12311860,https://riyasewana.com/buy/honda-n-wgn-sale-polgahawela-12311860,Honda N WGN 2025 Car Unregistered (Recondition),Car,Honda,N WGN,2025,2025,,17063,7850000,Petrol,Automatic,650,Unregistered (Recondition),Polgahawela,Polgahawela,"2026 Sep 12, 3:16 pm",riyasewana,2026-09-16T16:06:26.284440+00:00,[],True
12336235,https://riyasewana.com/buy/hyundai-accent-sale-matale-12336235,Hyundai Accent 2002 Car (Used),Car,Hyundai,Accent,2002,2002,,153000,2900000,Petrol,Automatic,1500,Registered (Used),Matale,Matale,"2026 Sep 16, 9:33 pm",riyasewana,2026-09-16T16:06:27.964845+00:00,[],True
12302190,https://riyasewana.com/buy/mercedes-benz-c180-sale-colombo-12302190,Mercedes-Benz C180 2019 Car (Used),Car,Mercedes-Benz,C180,2015,2015,2019,110000,17500000,Petrol,Automatic,1600,Registered (Used),Colombo,Colombo,"2026 Sep 11, 9:28 am",riyasewana,2026-09-16T16:06:29.677084+00:00,[],True
12336125,https://riyasewana.com/buy/mercedes-benz-c180-sale-kandy-12336125,Mercedes-Benz C180 2016 Car (Used),Car,Mercedes-Benz,C180,2016,2016,2018,51700,18000000,Petrol,Automatic,1600,Registered (Used),Kandy,Kandy,"2026 Sep 16, 9:01 pm",riyasewana,2026-09-16T16:06:31.393588+00:00,[],True
12336158,https://riyasewana.com/buy/mercedes-benz-c200-sale-colombo-12336158,Mercedes-Benz C200 2020 Car (Used),Car,Mercedes-Benz,C200,2020,2020,,69000,25300000,Petrol,Automatic,1500,Registered (Used),Colombo,Colombo,"2026 Sep 16, 9:09 pm",riyasewana,2026-09-16T16:06:33.095803+00:00,[],True
