listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12336115,https://riyasewana.com/buy/bajaj-100overri-sale-anuradapura-12336115,Bajaj 100overri 2012 Motorbike (Used),Motorbike,Bajaj,100overri,2012,2012,,1,235000,,,1,Registered (Used),Anuradapura,Anuradapura,"2026 Sep 16, 8:59 pm",riyasewana,2026-09-16T16:07:15.068417+00:00,"[""implausible_engine_cc""]",False
12336205,https://riyasewana.com/buy/bajaj-boxer-sale-embilipitiya-12336205,Bajaj Boxer 2003 Motorbike (Used),Motorbike,Bajaj,Boxer,2003,2003,,16000,169000,,,100,Registered (Used),Embilipitiya,Embilipitiya,"2026 Sep 16, 9:23 pm",riyasewana,2026-09-16T16:07:16.739355+00:00,[],True
12330537,https://riyasewana.com/buy/bajaj-ct-100-sale-anuradapura-12330537,Bajaj CT-100 2024 Motorbike (Used),Motorbike,Bajaj,CT-100,2024,2024,,55000,460000,,,100,Registered (Used),Anuradapura,Anuradapura,"2026 Sep 15, 10:39 pm",riyasewana,2026-09-16T16:07:18.421118+00:00,[],True
12336218,https://riyasewana.com/buy/bajaj-ct-100-sale-galle-12336218,Bajaj CT-100 2006 Motorbike (Used),Motorbike,Bajaj,CT-100,2006,2006,,45000,218000,,,100,Registered (Used),Galle,Galle,"2026 Sep 16, 9:28 pm",riyasewana,2026-09-16T16:07:20.090073+00:00,[],True
12336178,https://riyasewana.com/buy/bajaj-ct-100-sale-kadawatha-12336178,Bajaj CT-100 2018 Motorbike (Used),Motorbike,Bajaj,CT-100,2018,2018,,110000,410000,,,100,Registered (Used),Kadawatha,Gampaha,"2026 Sep 16, 9:15 pm",riyasewana,2026-09-16T16:07:21.765287+00:00,[],True
12336190,https://riyasewana.com/buy/bajaj-ct-100-sale-matugama-12336190,Bajaj CT-100 2006 Motorbike (Used),Motorbike,Bajaj,CT-100,2006,2006,,1,240000,,,100,Registered (Used),Matugama,Matugama,"2026 Sep 16, 9:19 pm",riyasewana,2026-09-16T16:07:23.489084+00:00,[],True
12336152,https://riyasewana.com/buy/bajaj-discover-100-sale-kegalle-12336152,Bajaj Discover 100 2010 Motorbike (Used),Motorbike,Bajaj,Discover 100,2010,2010,,1,,,,100,Registered (Used),Kegalle,Galle,"2026 Sep 16, 9:07 pm",riyasewana,2026-09-16T16:07:25.142496+00:00,"[""missing_price""]",False
12336206,https://riyasewana.com/buy/bajaj-discover-135-sale-kurunegala-12336206,Bajaj Discover 135 2008 Motorbike (Used),Motorbike,Bajaj,Discover 135,2008,2008,,0,280000,,,135,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 16, 9:24 pm",riyasewana,2026-09-16T16:07:26.843709+00:00,"[""suspicious_mileage_pattern""]",False
12317855,https://riyasewana.com/buy/bajaj-discover-150-sale-ratnapura-12317855,Bajaj Discover 150 2011 Motorbike (Used),Motorbike,Bajaj,Discover 150,2011,2011,,1,240000,,,150,Registered (Used),Ratnapura,Ratnapura,"2026 Sep 16, 9:21 pm",riyasewana,2026-09-16T16:07:28.539640+00:00,[],True
12330864,https://riyasewana.com/buy/bajaj-discover-sale-kegalle-12330864,Bajaj Discover 2009 Motorbike (Used),Motorbike,Bajaj,Discover,2009,2009,,67000,338000,,,135,Registered (Used),Kegalle,Galle,"2026 Sep 16, 6:27 am",riyasewana,2026-09-16T16:07:30.221190+00:00,[],True
