listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12289312,https://riyasewana.com/buy/bmw-320d-sale-matara-12289312,BMW 320D 2011 Car (Used),Car,BMW,320D,2011,2011,,132000,11800000,Diesel,Automatic,,Registered (Used),Matara,Matara,"2026 Sep 08, 9:53 pm",riyasewana,2026-09-08T16:28:01.577787+00:00,[],True
12289279,https://riyasewana.com/buy/daewoo-kalos-sale-kandy-12289279,Daewoo Kalos 2005 Car (Used),Car,Daewoo,Kalos,2005,2005,,,2575000,Petrol,Automatic,1300,Registered (Used),Kandy,Kandy,"2026 Sep 08, 9:43 pm",riyasewana,2026-09-08T16:28:02.247897+00:00,"[""missing_mileage""]",False
12280415,https://riyasewana.com/buy/daihatsu-mira-l-sale-homagama-12280415,Daihatsu Mira L 2025 Car Unregistered (Recondition),Car,Daihatsu,Mira L,2025,2025,,5700,6790000,Petrol,Automatic,660,"Posted by RAVINDU MOTORS (PVT) LTD · 2026-09-08 10:56 am, Homagama",Homagama,Colombo,"2026 Sep 08, 10:56 am",riyasewana,2026-09-08T16:28:02.919968+00:00,[],True
